WORD,RANK,FREQUENCY,LOG(RANK*FREQUENCY),LOG(TOTAL)
own,82,462,10.542284138345991,12.394351422798255
now,83,460,10.550067097279738,12.394351422798255
know,84,449,10.537839686585567,12.394351422798255
anne,85,447,10.545209851103886,12.394351422798255
thing,86,426,10.508786642522878,12.394351422798255
herself,87,425,10.517997287579,12.394351422798255
time,88,418,10.512818247002963,12.394351422798255
say,89,402,10.48508845835116,12.394351422798255
some,90,398,10.486261675614703,12.394351422798255
great,91,393,10.484669118386112,12.394351422798255
harriet,92,390,10.487935316172733,12.394351422798255
quite,93,387,10.491024186183038,12.394351422798255
can,94,387,10.501719475299785,12.394351422798255
weston,95,382,10.499297500207115,12.394351422798255
nothing,96,380,10.504519444188269,12.394351422798255
most,97,370,10.488213984141654,12.394351422798255
too,98,370,10.498470484308841,12.394351422798255
before,99,358,10.475652836535291,12.394351422798255
other,100,354,10.474467099121865,12.394351422798255
has,101,349,10.470192439043686,12.394351422798255
soon,102,346,10.471411588341995,12.394351422798255
always,103,344,10.475370645603034,12.394351422798255
about,104,343,10.482121346307313,12.394351422798255
see,105,340,10.48290596776773,12.394351422798255
again,106,338,10.486484989595086,12.394351422798255
knightley,107,336,10.48993999442511,12.394351422798255
man,108,332,10.487266196040709,12.394351422798255
without,109,321,10.46278900535916,12.394351422798255
elton,110,317,10.459382139669696,12.394351422798255
first,111,315,10.462102840137968,12.394351422798255
thought,112,308,10.448598654268668,12.394351422798255
may,113,308,10.457487601685916,12.394351422798255
captain,114,306,10.459783550346875,12.394351422798255
out,115,295,10.43190748470307,12.394351422798255
made,116,294,10.437169958445047,12.394351422798255
dear,117,291,10.435497201969248,12.394351422798255
though,118,288,10.433645104601611,12.394351422798255
two,119,283,10.424570390754766,12.394351422798255
lady,120,279,10.418703524603412,12.394351422798255
shall,121,275,10.412561643263313,12.394351422798255
young,122,274,10.417149151121327,12.394351422798255
jane,123,273,10.421656150557377,12.394351422798255
like,124,273,10.429753360789997,12.394351422798255
sure,125,273,10.437785532487261,12.394351422798255
ever,126,269,10.430993286553317,12.394351422798255
up,127,265,10.423916912444813,12.394351422798255
woodhouse,128,263,10.424184296097382,12.394351422798255
into,129,261,10.424332811684366,12.394351422798255
better,130,256,10.412711894935144,12.394351422798255
elliot,131,254,10.412531590219688,12.394351422798255
after,132,253,10.416191411313891,12.394351422798255
father,133,250,10.411810046084,12.394351422798255
come,134,241,10.382636733441567,12.394351422798255
having,135,239,10.38173833036994,12.394351422798255
make,136,237,10.380715026871183,12.394351422798255
friend,137,236,10.383812730853736,12.394351422798255
long,138,236,10.391085490182816,12.394351422798255
give,139,234,10.389795048488393,12.394351422798255
seemed,140,233,10.392680876175005,12.394351422798255
indeed,141,232,10.395497262044477,12.394351422798255
then,142,232,10.40256442926757,12.394351422798255
himself,143,230,10.400923939183103,12.394351422798255
just,144,228,10.399158928530442,12.394351422798255
upon,145,227,10.401683759901976,12.394351422798255
way,146,225,10.399707023912757,12.394351422798255
many,147,222,10.393109968651016,12.394351422798255
oh,148,217,10.377109627304575,12.394351422798255
go,149,214,10.36992232096731,12.394351422798255
however,150,213,10.371927459805681,12.394351422798255
done,151,213,10.378572002524349,12.394351422798255
day,152,211,10.375738654322342,12.394351422798255
away,153,211,10.382296054868503,12.394351422798255
over,154,207,10.369671395678997,12.394351422798255
sir,155,206,10.371301285708828,12.394351422798255
home,156,205,10.372865986387945,12.394351422798255
last,157,203,10.369451784390096,12.394351422798255
here,158,203,10.375801012068754,12.394351422798255
even,159,202,10.377171899621436,12.394351422798255
fairfax,160,201,10.378478723292902,12.394351422798255
rather,161,201,10.384709273043539,12.394351422798255
while,162,199,10.380901159956876,12.394351422798255
enough,163,195,10.36674975937051,12.394351422798255
frank,164,193,10.362556616729083,12.394351422798255
its,165,193,10.368635662805467,12.394351422798255
really,166,193,10.37467797726143,12.394351422798255
hope,167,192,10.375489184444536,12.394351422798255
us,168,192,10.38145935143104,12.394351422798255
felt,169,192,10.387394086950856,12.394351422798255
wish,170,191,10.388071865096892,12.394351422798255
wentworth,171,191,10.39393698454929,12.394351422798255
churchill,172,189,10.389241491873095,12.394351422798255
poor,173,187,10.384400211352366,12.394351422798255
mind,174,187,10.390163916069115,12.394351422798255
heard,175,185,10.38514179900184,12.394351422798255
still,176,185,10.390839820116476,12.394351422798255
happy,177,184,10.391085490182816,12.394351422798255
same,178,184,10.396719307901071,12.394351422798255
going,179,183,10.396871958682176,12.394351422798255
came,180,183,10.402443003731632,12.394351422798255
cannot,181,181,10.396994062531652,12.394351422798255
house,182,178,10.38579023736888,12.394351422798255
found,183,175,10.374272126764936,12.394351422798255
feelings,184,174,10.373991056823515,12.394351422798255
woman,185,174,10.379411124292854,12.394351422798255
another,186,172,10.373241150526654,12.394351422798255
